排名,电影名,年份,上映时间,类型,时长,评分,语言,导演,作者,主演,slogan,简介,url
1,安昂传奇：最后的气宗,2026,2026-07-24,动画、冒险、奇幻、动作,1h 39m,9.151,,劳伦·蒙哥马利,Tim Hedrick、克里斯托弗·L·约斯特、Kenneth Lin、布莱恩·科涅茨科、迈克尔·但丁·迪马蒂诺,Eric Nam、戴夫·巴蒂斯塔、杰西卡·马滕、Román Zaragoza、史蒂文·元、Dionne Quan、迪·布拉雷·贝克尔、芙蕾达·平托、关继威,The legacy reawakens.,派拉蒙和尼克宣布“降世神通”系列开发三部新的电影，仍是动画形式。第一部由《降世神通：最后的气宗》导演Lauren Montgomery执导，《最后的气宗》主创Bryan Konietzko和Michael DiMartino担任制片人。,https://www.themoviedb.org/movie/980431-avatar-aang-the-last-airbender
2,奇幻变身大冒险,2026,2026-05-01,冒险、动画、家庭、奇幻,1h 42m,8.869,,内森·格雷诺,内森·格雷诺、Christian Magalhaes、约翰·惠廷顿、Robert Snow、Adam J. Karp,迈克尔·B·乔丹、朱诺·坦普尔、特雷西·摩根、塞德里克·凯尔斯、贾斯蒂娜·马查多、内特·托伦斯、Camden Brooks、塔塔·维加、安比卡·茂德,Transform your destiny.,森林中的一个小生物和一只高贵的鸟突然互换了身体，他们不得不结伴而行，共同应对此生最疯狂的冒险。,https://www.themoviedb.org/movie/1007757-swapped
3,不期而遇的姐妹,2026,2026-03-12,喜剧、爱情,1h 25m,8.852,,Ihtzi Hurtado,Ihtzi Hurtado、Miguel García Moreno、Mariana Palos、Carmen Castro、Paulina Barros、Carlos Tobías Gambia,安吉丽娅·博耶、Bárbara de Regil、Diego Klein、Lucía Uribe、Isabella Camil、Gabriela Platas、Laura Flores、Elena Pérez、César Rodríguez,,两位女子发现自己被同一个男人欺骗，且两人都被他弄怀孕了。于是她们联手展开报复。,https://www.themoviedb.org/movie/1632181-socias-por-accidente
4,夜巡毒枭,2026,2026-08-21,犯罪、动作、惊悚,1h 31m,8.814,,Chava Cartas,Bernardo Esquinca,Alfonso Herrera、诺伊·埃尔南德斯、Hector Kotsifakis、Paola Fernández、Gerardo Trejoluna、Fernando Cuautle、Alejandra Vazquez De Leon、Santiago Colores、Berenice Mastretta,,两位墨西哥员警不幸得罪一名残忍的毒枭后，必须拼命撑过值勤的最后几小时。改编自真实事件。,https://www.themoviedb.org/movie/1621552-la-captura
5,鬼灭之刃：无限城篇 第一章 猗窝座再袭,2025,2025-07-18,动画、动作、奇幻,2h 35m,8.785,,外崎春雄,吾峠呼世晴、近藤光,花江夏树、樱井孝宏、石田彰、下野纮、细谷佳正、早见沙织、宫野真守、上田丽奈、中村悠一,It's time to have some fun.,当鬼杀队的成员和柱之人在为即将到来的与鬼的战斗做准备，完成共同的体能训练——柱之训练时，鬼舞辻无惨在产屋敷宅邸出现。由于鬼杀队的主公处于危险之中，炭治郎和柱急忙赶往总部，但却被鸣女推入一个神秘的异空间。炭治郎和鬼杀队的目标是鬼的堡垒——无限城。因此，鬼杀队和鬼之间的最终战斗的战场已经准备就绪。,https://www.themoviedb.org/movie/1311031
6,肖申克的救赎,1994,1994-09-23,剧情、犯罪,2h 22m,8.731,,弗兰克·德拉邦特,弗兰克·德拉邦特、斯蒂芬·金,蒂姆·罗宾斯、摩根·弗里曼、鲍勃·冈顿、威廉姆·赛德勒、克兰西·布朗、吉尔·贝罗斯、小詹姆斯·艾伦·惠特莫尔、马克·罗斯顿、杰弗里·德蒙,恐惧会将你囚禁，希望则能让你获得自由。,1947年，银行家安迪·杜佛兰因被控杀害妻子及其情人，尽管始终坚称清白，仍被判处两项无期徒刑，送入缅因州的肖申克监狱服刑。在残酷而压抑的监狱生活中，安迪凭借冷静、智慧和始终未曾熄灭的希望逐渐赢得狱友们的尊重，并与能够在狱中弄到各种物品的瑞德建立起深厚的友谊。漫长的岁月里，他始终没有让高墙彻底改变自己，也开始用自己的方式影响身边的人，以及这座看似牢不可破的监狱……,https://www.themoviedb.org/movie/278-the-shawshank-redemption
7,教父,1972,1972-03-14,剧情、犯罪,2h 55m,8.7,,弗朗西斯·科波拉,弗朗西斯·科波拉、马里奥·普佐,马龙·白兰度、阿尔·帕西诺、詹姆斯·凯恩、罗伯特·杜瓦尔、理查德·萨尔瓦托雷·卡斯特拉诺、黛安·基顿、塔莉亚·夏尔、詹尼·鲁索、斯特林·海登,一份你无法拒绝的邀约。,40年代的美国，“教父”维托·唐·柯里昂是黑手党柯里昂家族的首领，带领家族从事非法的勾当，但同时他也是许多弱小平民的保护神，深得人们爱戴。因为拒绝了毒枭索洛索的毒品交易要求，柯里昂家族和纽约其他几个黑手党家族的矛盾激化、圣诞前夕，索洛索劫持了“教父”的参谋汤姆，并派人暗杀“教父”；因为内奸的出卖，“教父”的大儿子逊尼被仇家杀害；小儿子麦克也被卷了进来，失去爱妻。黑手党家族之间的矛盾越来越白热化。年老的“教父”面对丧子之痛怎样统领全局？黑手党之间的仇杀如何落幕？谁是家族的内奸？谁又能够成为新一代的“教父”？血雨腥风和温情脉脉，在这部里程碑式的黑帮史诗巨片里真实上演。,https://www.themoviedb.org/movie/238-the-godfather
8,迈克尔·杰克逊：巨星之路,2026,2026-04-22,音乐、剧情,2h 16m,8.643,,安东尼·福奎阿,约翰·洛根,贾法尔·杰克逊、科尔曼·多明戈、尼娅·朗、Juliano Krue Valdi、凯琳·杜雷尔·琼斯、迈尔斯·特勒、拉伦茨·泰特、劳拉·哈里尔、麦克·梅尔斯,Discover the making of a king.,本片将通过一段从未展现过的深度视角，真实记录传奇巨星迈克尔·杰克逊的复杂人生。影片不仅再现了他最具标志性的艺术表演瞬间，更深入挖掘了他的内心世界——从天才神童的成长阵痛到全球偶像背后的争议与坚韧，全面呈现这位伟大艺术家的辉煌与坎坷。,https://www.themoviedb.org/movie/936075-michael
9,挽救计划,2026,2026-03-15,科幻、冒险,2h 36m,8.642,,菲尔·洛德、克里斯托弗·米勒,安迪·威尔、德鲁·高达,瑞恩·高斯林、桑德拉·惠勒、詹姆斯·奥尔蒂斯、莱昂内尔·博伊斯、米拉娜·薇恩翠、肯·兰格、普里亚·坎萨拉、米娅·索特里乌、安内尔·奥拉耶,信念是暗夜唯一的光,太阳正在被“吃”掉，绝望吞噬地球。一名“平凡”的中学教师格雷斯（瑞恩·高斯林 饰）背负全人类的希望，踏上“太空不归路”。末路孤旅中，他意外遇到一位外星萌友，一个同样身陷绝境的外星工程师，这对“宇宙搭子”成了两个文明最后的救命稻草。他们能否在资源紧缺的情况下攻克重重科学谜题，寻回唯一的希望火种？ 影片改编自安迪·威尔的同名畅销科幻小说。,https://www.themoviedb.org/movie/687163-project-hail-mary
10,教父2,1974,1974-12-20,剧情、犯罪,3h 20m,8.572,,弗朗西斯·科波拉,弗朗西斯·科波拉、马里奥·普佐,阿尔·帕西诺、罗伯特·杜瓦尔、黛安·基顿、罗伯特·德尼罗、约翰·卡扎尔、塔莉亚·夏尔、李·斯特拉斯伯格、迈克尔·V·格佐、格瓦斯·杜安·斯普拉德林,柯里昂帝国的兴衰史。,作为《教父》的续篇，影片延续了科莱昂家族两代权力交替的史诗。科波拉在第二部分中讲述了两条故事线：由罗伯特·德尼罗以非凡演技演绎的年轻教父维托的根源与崛起，以及迈克尔（阿尔·帕西诺饰）作为新任教父的上位之路。,https://www.themoviedb.org/movie/240-the-godfather-part-ii
